"title","job_id","job_category","posting_date","apply_before","job_schedule","locations","banner","requirements"
"Deli Clerk","W735295","Retail, Store Ops","07/10/2026, 08:00 PM",,"Part time","323 OLD YORK RD, JENKINTOWN, PA, 19046, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","W735293","Retail, Store Ops","07/10/2026, 08:00 PM",,"Part time","323 OLD YORK RD, JENKINTOWN, PA, 19046, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Acme Assistant Store Director- Philadelphia, PA","755786","Retail, Store Ops","08/20/2026, 03:49 PM",,"Full time","323 OLD YORK RD, JENKINTOWN, PA, 19046, US","ACME Markets","Minimum of one year of assistant manager experience responsible for managing a department/team within a multi-department operation within the retail or service industry - OR - Two years' experience as a department manager with responsibility for managing a department/team within a multi-department operation within the retail or high-volume service industry High school diploma or equivalent required; college degree is preferred Strong customer service and supervisory skills Perishable inventory management (no exceptions) Solid understanding of overall store operations Proven ability to demonstrate strong leadership skills Will be required to repeatedly use hands, arms, legs, and feet for sustained action (e.g. walking around the store, stocking, rotating product). Ability to stand 100% of the shift and work in a fast-paced environment. Preferred Qualifications: Schedule writing Inventory Ordering Shrink Management 2+ Years experience managing in a food-based industry Union experience Travel: May be required to travel for training or participation in corporate programs and focus groups. Additionally, travel to other stores to assist when necessary, may be required."
"Fresh Cut Produce Clerk","763018","Retail, Store Ops","09/05/2026, 10:36 AM","10/05/2026, 10:36 AM","Part time","124 MORTON AVE, FOLSOM, PA, 19033, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Front End Entry Level","760931","Retail, Store Ops","09/02/2026, 12:58 PM","10/02/2026, 12:58 PM","Part time","124 MORTON AVE, FOLSOM, PA, 19033, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","757849","Retail, Store Ops","08/26/2026, 11:30 AM","09/25/2026, 11:30 AM","Part time","124 MORTON AVE, FOLSOM, PA, 19033, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"In-Store Shopper","W739803","Retail, Store Ops","07/22/2026, 08:00 PM",,"Part time","567 SPROUL ROAD, BROOMALL, PA, 19008, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"Fresh Cut Produce Clerk","W735815","Retail, Store Ops","07/12/2026, 08:00 PM",,"Part time","567 SPROUL ROAD, BROOMALL, PA, 19008, US","ACME Markets","· Food Prep Experience: Prior experience in grocery, food service, or produce prep preferred. · Knife Skills & Safety Awareness: Comfortable using knives and other prep tools with attention to safety and precision. · Freshness Standards: Ability to identify quality produce and follow food safety and handling guidelines. · Customer Service: Friendly and helpful attitude with the ability to assist customers and communicate clearly. · Multitasking & Time Management: Capable of juggling multiple tasks efficiently in a fast-paced environment. · Cleanliness & Organization: Commitment to maintaining a clean, sanitary, and organized workspace. · Physical Capability: Ability to stand for extended periods and lift up to 40 lbs. with or without accommodation. · Teamwork: Willingness to support fellow associates and contribute to a positive store culture."
"Meat - Seafood Clerk","759382","Retail, Store Ops","08/31/2026, 11:48 AM",,"Part time","567 SPROUL ROAD, BROOMALL, PA, 19008, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Front End Entry Level","W735799","Retail, Store Ops","08/31/2026, 11:44 AM","09/30/2026, 12:00 AM","Part time","567 SPROUL ROAD, BROOMALL, PA, 19008, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","764996","Retail, Store Ops","09/10/2026, 08:39 AM","10/10/2026, 08:39 AM","Part time","1640 BETHLEHEM PIKE, FLOURTOWN, PA, 19031, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Front End Entry Level","764995","Retail, Store Ops","09/10/2026, 08:35 AM","10/10/2026, 08:35 AM","Part time","1640 BETHLEHEM PIKE, FLOURTOWN, PA, 19031, US","ACME Markets","You take pride in the work you do, whether big or small. You believe that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"Deli Clerk","753190","Retail, Store Ops","08/14/2026, 04:44 PM",,"Part time","700 HADDONFIELD BERLIN RD, VOORHEES, NJ, 08043, US","ACME Markets","· You are 18 years of age or older · You take pride in the work you do, whether big or small · You agree that food is central to all our lives · Helping customers and fellow associates gives you energy · Smiling and making others smile is your favorite · You are eager & willing to learn · Being a part of your community matters"
"Night Crew Stocker","768701","Retail, Store Ops","09/19/2026, 03:19 PM",,"Part time","700 HADDONFIELD BERLIN RD, VOORHEES, NJ, 08043, US","ACME Markets","Customer Interaction Skills: Clear communication when assisting customers on the sales floor Stocking & Merchandising: Placing product accurately on shelves and maintaining display standards Product Knowledge: Familiarity with store layout, product locations, and pricing Attention to Detail: Accuracy in stocking, rotation, labeling, and removing outdated products Organization & Time Management: Managing workload efficiently while maintaining clean, organized areas Equipment Use: Operating pallet jacks, box cutters, and store equipment following safety guidelines Inventory Awareness: Monitoring stock levels and maintaining backroom organization Operational Awareness: Following company policies, safety procedures, and stocking processes Adaptability: Comfort working varied shifts, including day, evening, or overnight schedules Physical Capability: Comfort with frequent lifting, carrying, and movement, including lifting up to 60 lbs. Requirements: Must be 18 years of age or older Ability to operate equipment such as pallet jacks and balers following training and safety guidelines Basic math and communication skills required Availability to work flexible shifts including daytime, evening, overnight, weekends, and holidays Compliance with company policies including safety, sanitation, and dress standards Prior retail, stocking, or customer service experience preferred"
"Retail Sales and Store Support","753199","Retail, Store Ops","08/14/2026, 04:49 PM",,,"700 HADDONFIELD BERLIN RD, VOORHEES, NJ, 08043, US","ACME Markets","You take pride in the work you do, whether big or small. You agree that food is central to all our lives. Helping customers and fellow associates gives you energy. Smiling and making others smile is your favorite. You are eager, willing, and wanting to learn & grow. You believe that being a part of your community matters."
"In-Store Shopper","763488","Retail, Store Ops","09/07/2026, 08:58 AM","10/07/2026, 08:58 AM","Part time","920 RED LION RD, PHILADELPHIA, PA, 19115, US","ACME Markets","· You take pride in the work you do, whether big or small. · You enjoy a team-based, fast-paced environment. · You agree that food is central to all our lives. · You are flexible to work in varying departments as needed. · Helping customers and fellow associates gives you energy. · Smiling and making others smile is your favorite. · You are eager & willing to learn. · Being a part of your community matters."
"2027 Pharmacy Graduate Intern-ACME","766813","Pharmacy & Health","09/15/2026, 07:57 AM",,"Full time","920 RED LION RD, PHILADELPHIA, PA, 19115, US 212 NEW RD, SOMERS POINT, NJ, 08244, US 205 S 1ST AVE, LAUREL, MT, 59044, US 690 MILLBROOK AVE, RANDOLPH, NJ, 07869, US 100 SUBURBAN DR, NEWARK, DE, 19711, US","ACME Markets","· Bachelor’s degree in pharmacy or Pharm.D or equivalent FPGEC (NABP) · Must have an active pharmacy license in state(s) of practice with all held licenses in good standing · Certified Immunizer Required · Ability to work a variety of schedules"
